,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
3381,CONTINENTAL CONS...,4.4,(8 Reviews),Public,Memphis,45,51-200 Employees (Global)
3382,Eins Education,1.7,(8 Reviews),Private,Mumbai + 1 more,501-1k Employees (Global),
3383,E-Ring,2.6,(8 Reviews),Private,Alpharetta,,
3384,Oswal,3.0,(8 Reviews),"Bombay,maharashtra + 2 more",,,
3385,Applied Data Fin...,4.0,(8 Reviews),LLC,"New York City,New York",8,
3386,Neo Technologies,3.9,(8 Reviews),Chennai,12,51-200 Employees (Global),
3387,TopperLearning,3.6,(8 Reviews),Mumbai + 1 more,15,50k-1 Lakh Employees (India),
3388,Resolve Business...,1.6,(8 Reviews),Bengaluru,51-200 Employees (India),,
3389,Fractal Ink Desi...,4.2,(8 Reviews),Kurla,4,51-200 Employees (India),
3390,Principal Mutual...,3.4,(8 Reviews),"Bombay,maharashtra",,,
3391,IKM Investor Ser...,3.1,(8 Reviews),New Delhi,61,,
3392,Abjayon,4.1,(8 Reviews),Private,Fremont,15,201-500 Employees (Global)
3393,ITPC,4.3,(8 Reviews),,,,
3394,NexSales,3.7,(8 Reviews),Cupertino,,,
3395,Safeway Technolo...,4.0,(8 Reviews),Noida + 1 more,,,
3396,CapitalStars Fin...,4.0,(8 Reviews),Indore,51-200 Employees (India),,
3397,GTechwebindia,4.7,(8 Reviews),Private,"Delhi/NCR,Delhi",13,11-50 Employees (Global)
3398,Taurus Asset Man...,4.3,(8 Reviews),New York + 1 more,201-500 Employees (India),,
3399,Repco Bank,3.8,(8 Reviews),Chennai + 1 more,501-1k Employees (India),,
3400,Vervali Systems,4.4,(8 Reviews),"Vasai,Maharashtra",12,11-50 Employees (India),
3401,DSK Legal,3.9,(8 Reviews),Mumbai,51-200 Employees (India),,
3402,Micra Systems,2.7,(8 Reviews),Noida,8,,
3403,Xebec Design and...,3.7,(8 Reviews),New Delhi,,,
3404,Intelecorp Softw...,4.2,(8 Reviews),Mumbai,11-50 Employees (India),,
3405,Happy Adda Studi...,4.1,(8 Reviews),Bengaluru,6,,
3406,BR ERP TECHNOLOG...,3.1,(8 Reviews),Private,Kolkata,11-50 Employees (Global),
3407,Seamedu School o...,3.7,(8 Reviews),Private,"Pune,Maharashtra + 1 more",14,51-200 Employees (Global)
3408,SettlIn,3.9,(8 Reviews),"Bangalore,Karnataka",7,51-200 Employees (India),
3409,TEK Wizard,4.5,(8 Reviews),Chennai,,,
3410,Pixel D Studios,3.8,(8 Reviews),Mumbai + 1 more,11-50 Employees (India),,
3411,Madhulata Infote...,4.6,(8 Reviews),New Delhi,,,
3412,Shri Shakti Alte...,3.0,(8 Reviews),Hyderabad,24,,
3413,APL Global Schoo...,2.5,(8 Reviews),Chennai,11-50 Employees (India),,
3414,Aldebaran Infote...,4.9,(8 Reviews),,,,
3415,YaraGo Software,3.9,(8 Reviews),Bengaluru,10,51-200 Employees (India),
3416,Calibre Mindware...,3.1,(8 Reviews),Pune,51-200 Employees (India),,
3417,Ktechbeans Softw...,5.0,(8 Reviews),Pune,,,
3418,ExclusiveLane,3.4,(8 Reviews),Private,"Noida,Uttar Pradesh",10,51-200 Employees (India)
3419,Oswal,3.0,(8 Reviews),"Bombay,maharashtra + 2 more",,,
3420,Telcon,3.7,(8 Reviews),Private,Jamshedpur + 2 more,11-50 Employees (Global),
3421,Blend Financial ...,3.0,(8 Reviews),Private,Mumbai,25,51-200 Employees (India)
3422,Escorts Securiti...,3.9,(8 Reviews),201-500 Employees (India),,,
3423,IKM Investor Ser...,3.1,(8 Reviews),New Delhi,61,,
3424,Abjayon,4.1,(8 Reviews),Private,Fremont,15,201-500 Employees (Global)
3425,Sesame Bankhall ...,3.5,(8 Reviews),Huddersfield,,,
3426,DSK Legal,3.9,(8 Reviews),Mumbai,51-200 Employees (India),,
3427,VARStreet,3.7,(8 Reviews),Boston,,,
3428,Arcelia IT Servi...,5.0,(8 Reviews),New Delhi + 1 more,11-50 Employees (India),,
3429,Wonder Pillars T...,4.5,(8 Reviews),Noida,,,
3430,BR ERP TECHNOLOG...,3.1,(8 Reviews),Private,Kolkata,11-50 Employees (Global),
3431,NG Electro Produ...,2.1,(8 Reviews),51-200 Employees (India),,,
3432,Phoenix Robotix,4.3,(8 Reviews),"Rourkela,Odisha",7,51-200 Employees (India),
3433,Dynamic Dreamz,4.9,(8 Reviews),Private,"Surat,Gujarat",18,51-200 Employees (India)
3434,Dollop Infotech,4.5,(8 Reviews),Indore,,,
3435,Shri Shakti Alte...,3.0,(8 Reviews),Hyderabad,24,,
3436,RSalesArm IT Ser...,4.1,(8 Reviews),Chennai,,,
3437,WebAshlar,3.2,(8 Reviews),Surat,12,,
3438,Quadrum Solution...,2.1,(8 Reviews),Mumbai,,,
3439,Results Marine,3.7,(8 Reviews),Private,"Chennai,Tamil Nadu",18,51-200 Employees (India)
3440,YaraGo Software,3.9,(8 Reviews),Bengaluru,10,51-200 Employees (India),
3441,Jain Singhal and...,1.8,(8 Reviews),Noida + 2 more,11-50 Employees (India),,
3442,Calibre Mindware...,3.1,(8 Reviews),Pune,51-200 Employees (India),,
3443,Ktechbeans Softw...,5.0,(8 Reviews),Pune,,,
3444,Micra Systems,2.7,(8 Reviews),Noida,8,,
3445,Devharsh Infotec...,3.6,(8 Reviews),Mumbai,11-50 Employees (India),,
3446,BlackLight Studi...,3.3,(8 Reviews),Noida,11,11-50 Employees (India),
3447,Happy Adda Studi...,4.1,(8 Reviews),Bengaluru,6,,
3448,Kshema Power,4.0,(8 Reviews),Chennai + 2 more,201-500 Employees (India),,
3449,SettlIn,3.9,(8 Reviews),"Bangalore,Karnataka",7,51-200 Employees (India),
3450,Genesys Informat...,4.8,(8 Reviews),Hyderabad,,,
3451,Cloudwick,4.3,(8 Reviews),Newark + 1 more,,,
3452,Gaudium IVF,3.2,(8 Reviews),Proprietorship,"Delhi/NCR,Delhi + 1 more",13,11-50 Employees (India)
3453,Advancetech Cont...,4.3,(8 Reviews),Mumbai + 1 more,11-50 Employees (India),,
3454,SICOM,4.6,(8 Reviews),Andheri East,51-200 Employees (India),,
3455,Brill Mindz Tech...,2.5,(8 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",11,51-200 Employees (Global)
3456,Neo Technologies,3.9,(8 Reviews),Chennai,12,51-200 Employees (Global),
3457,Tech Manos,5.0,(8 Reviews),LLP,"Delhi/NCR,Delhi",9,51-200 Employees (Global)
3458,General Datum,4.1,(8 Reviews),Hyderabad,51-200 Employees (India),,
3459,Techtilt Info So...,3.5,(8 Reviews),Private,"Chennai,Tamil Nadu",6,11-50 Employees (India)
3460,Quant Systems In...,2.8,(8 Reviews),Visakhapatnam,,,
3461,Housing Finance ...,4.0,(8 Reviews),Hyderabad/Secunderabad + 2 more,,,
3462,SBI Home Finance,4.6,(8 Reviews),Public,Lucknow + 5 more,,
3463,Roadrunnr,4.0,(8 Reviews),"Bangalore,Karnataka + 1 more",7,,
3464,ComX Softech,3.3,(8 Reviews),Bengaluru,11-50 Employees (India),,
3465,Apptad,2.8,(8 Reviews),Chandler + 1 more,201-500 Employees (India),,
3466,Knowledge Stream,4.2,(8 Reviews),Bengaluru,,,
3467,Flipclass,4.6,(8 Reviews),Private,"Bangalore,Karnataka",9,11-50 Employees (Global)
3468,Mobilyte,3.5,(8 Reviews),Santa Clara,,,
3469,TradingBells,4.2,(8 Reviews),Private,"Indore,Madhya Pradesh",6,51-200 Employees (Global)
3470,The Brihaspati I...,3.7,(8 Reviews),Mohali,12,11-50 Employees (India),
3471,Corporate Renais...,3.7,(8 Reviews),Ottawa + 1 more,,,
3472,Everest Web Solu...,4.6,(8 Reviews),Pune,11-50 Employees (India),,
3473,DVG Tech Solutio...,4.3,(8 Reviews),Chennai,19,51-200 Employees (India),
3474,Population Found...,3.8,(8 Reviews),New Delhi,51-200 Employees (India),,
3475,Infini Systems,4.4,(8 Reviews),Mumbai,,,
3476,Zibanka Media Se...,1.0,(8 Reviews),Ahmedabad,,,
3477,Mallow Technolog...,4.6,(8 Reviews),Private,"Karur,Tamil Nadu",12,51-200 Employees (India)
3478,JustLikeNew Tech...,4.7,(8 Reviews),Private,"Hyderabad,Telangana + 1 more",8,51-200 Employees (India)
3479,Hothaat Marketpl...,2.2,(8 Reviews),Andheri,,,
3480,Growing Stars,5.0,(8 Reviews),Pleasanton,201-500 Employees (India),,
3481,GIST Advisory,2.3,(8 Reviews),Mumbai,11,51-200 Employees (India),
3482,RBC,4.9,(8 Reviews),Private,Toronto + 2 more,50k-1 Lakh Employees (Global),
3483,AXA Assistance,4.1,(8 Reviews),Noida + 1 more,,,
3484,Contentsphere Te...,3.5,(8 Reviews),Viman Nagar,,,
3485,TradingBells,4.2,(8 Reviews),Private,"Indore,Madhya Pradesh",6,51-200 Employees (Global)
3486,The Brihaspati I...,3.7,(8 Reviews),Mohali,12,11-50 Employees (India),
3487,StarClinch,3.1,(8 Reviews),"Delhi,NCT",7,,
3488,Salient Business...,1.1,(8 Reviews),Private,Gurgaon,201-500 Employees (Global),
3489,Butterflies,3.3,(8 Reviews),Private,"Newton,TX + 1 more",11-50 Employees (India),
3490,Karpara Project ...,4.1,(8 Reviews),Private,"Surat,gujarat + 2 more",201-500 Employees (India),
3491,ComX Softech,3.3,(8 Reviews),Bengaluru,11-50 Employees (India),,
3492,Corporate Softwa...,4.3,(8 Reviews),Pune,,,
3493,Flipclass,4.6,(8 Reviews),Private,"Bangalore,Karnataka",9,11-50 Employees (Global)
3494,Corporate Renais...,3.7,(8 Reviews),Ottawa + 1 more,,,
3495,LivQuik Technolo...,4.2,(8 Reviews),"Mumbai,Maharashtra + 1 more",10,51-200 Employees (India),
3496,Everest Web Solu...,4.6,(8 Reviews),Pune,11-50 Employees (India),,
3497,DVG Tech Solutio...,4.3,(8 Reviews),Chennai,19,51-200 Employees (India),
3498,Ansh Info Soluti...,2.3,(8 Reviews),Kolkata,,,
3499,Prompt Infotech,4.9,(8 Reviews),Mumbai,16,,
3500,Hothaat Marketpl...,2.2,(8 Reviews),Andheri,,,
3501,Roadrunnr,4.0,(8 Reviews),"Bangalore,Karnataka + 1 more",7,,
3502,Transven,3.3,(8 Reviews),Mumbai,,,
3503,Meet Career,2.1,(8 Reviews),New Delhi,,,
3504,Revenue Technolo...,2.9,(8 Reviews),Plano,51-200 Employees (India),,
3505,Apptad,2.8,(8 Reviews),Chandler + 1 more,201-500 Employees (India),,
3506,Knowledge Stream,4.2,(8 Reviews),Bengaluru,,,
3507,Nivalink Tours a...,4.1,(8 Reviews),"Mumbai,Maharashtra",22,11-50 Employees (India),
3508,Mobilyte,3.5,(8 Reviews),Santa Clara,,,
3509,Population Found...,3.8,(8 Reviews),New Delhi,51-200 Employees (India),,
3510,JustLikeNew Tech...,4.7,(8 Reviews),Private,"Hyderabad,Telangana + 1 more",8,51-200 Employees (India)
3511,Innovage Fintech,3.4,(8 Reviews),"Mumbai,Maharashtra",12,11-50 Employees (India),
3512,Vervali Systems,4.4,(8 Reviews),"Vasai,Maharashtra",12,11-50 Employees (India),
3513,PSTS Logistics,4.9,(8 Reviews),Private,"Chennai,Tamil Nadu",82,51-200 Employees (India)
3514,Mitsogo Technolo...,3.9,(8 Reviews),Kochi,51-200 Employees (India),,
3515,Landmark Constru...,2.7,(8 Reviews),Chennai,,,
3516,Caribou Media,2.9,(8 Reviews),"Hyderabad/Secunderabad,Telangana",9,,
3517,Versatile Group,4.9,(8 Reviews),Ghatkopar + 2 more,53,501-1k Employees (India),
3518,Shiv Shakti Indu...,3.3,(8 Reviews),Surat + 2 more,51-200 Employees (India),,
3519,Bufab India Fast...,2.0,(8 Reviews),Pune,51-200 Employees (India),,
3520,PRM Fincon,4.3,(8 Reviews),Kolkata,11,11-50 Employees (India),
3521,Cloudwick,4.3,(8 Reviews),Newark + 1 more,,,
3522,Corporate Rankin...,1.7,(8 Reviews),Bhubaneswar,,,
3523,General Datum,4.1,(8 Reviews),Hyderabad,51-200 Employees (India),,
3524,Mind Mingles,2.0,(8 Reviews),New Delhi,9,,
3525,SeaLink Infotech,4.4,(8 Reviews),51-200 Employees (India),,,
3526,KM Medical Softw...,3.0,(8 Reviews),Cork,,,
3527,Career College B...,4.8,(8 Reviews),Bhopal,51,,
3528,Mosambee,4.2,(8 Reviews),Private,Mumbai + 1 more,10,51-200 Employees (Global)
3529,TurningCloud Sol...,2.2,(8 Reviews),Noida,,,
3530,Gaudium IVF,3.2,(8 Reviews),Proprietorship,"Delhi/NCR,Delhi + 1 more",13,11-50 Employees (India)
3531,AAA Technologies,1.3,(8 Reviews),Mumbai,22,51-200 Employees (India),
3532,SA Rawther Spice...,4.1,(8 Reviews),Bengaluru + 2 more,51-200 Employees (India),,
3533,Process Pumps,3.4,(8 Reviews),Bengaluru,51-200 Employees (India),,
3534,Accelere Infosof...,3.5,(8 Reviews),Ahmedabad,,,
3535,NeelKamal Enterp...,3.1,(8 Reviews),"Faridabad,Haryana + 1 more",51-200 Employees (India),,
3536,Advancetech Cont...,4.3,(8 Reviews),Mumbai + 1 more,11-50 Employees (India),,
3537,Principal Mutual...,3.4,(8 Reviews),"Bombay,maharashtra",,,
3538,Hotel Central Pa...,3.9,(8 Reviews),Private,Fort Worth + 3 more,11-50 Employees (India),
3539,Equitypandit Fin...,3.5,(8 Reviews),11-50 Employees (India),,,
3540,Sesame Bankhall ...,3.5,(8 Reviews),Huddersfield,,,
3541,Ansh Info Soluti...,2.3,(8 Reviews),Kolkata,,,
3542,Prompt Infotech,4.9,(8 Reviews),Mumbai,16,,
3543,Softaculous,3.6,(8 Reviews),Private,"Mumbai,Maharashtra + 1 more",13,11-50 Employees (Global)
3544,Growing Stars,5.0,(8 Reviews),Pleasanton,201-500 Employees (India),,
3545,Unique Designers,4.5,(8 Reviews),New Delhi + 1 more,,,
3546,Ticket New,4.9,(8 Reviews),Chennai + 2 more,15,,
3547,Techsol,3.5,(8 Reviews),Mumbai,,,
3548,Seth & Associate...,4.6,(8 Reviews),Lucknow,,,
3549,MSL Learning Sys...,3.5,(8 Reviews),Private,"Gurgaon/Gurugram,Haryana + 2 more",15,11-50 Employees (India)
3550,Landmark Constru...,2.7,(8 Reviews),Chennai,,,
3551,Versatile Group,4.9,(8 Reviews),Ghatkopar + 2 more,53,501-1k Employees (India),
3552,Mosambee,4.2,(8 Reviews),Private,Mumbai + 1 more,10,51-200 Employees (Global)
3553,NeelKamal Enterp...,3.1,(8 Reviews),"Faridabad,Haryana + 1 more",51-200 Employees (India),,
3554,Bufab India Fast...,2.0,(8 Reviews),Pune,51-200 Employees (India),,
3555,Interics Designs,4.3,(8 Reviews),Pune,28,11-50 Employees (India),
3556,Emeis Technologi...,4.3,(8 Reviews),Noida,51-200 Employees (India),,
3557,Nabla Infotech,4.6,(8 Reviews),Private,"Pune,Maharashtra",9,51-200 Employees (India)
3558,Vinclis Technolo...,4.9,(8 Reviews),Bengaluru,,,
3559,Resolve Business...,1.6,(8 Reviews),Bengaluru,51-200 Employees (India),,
3560,Fractal Ink Desi...,4.2,(8 Reviews),Kurla,4,51-200 Employees (India),
3561,VARStreet,3.7,(8 Reviews),Boston,,,
3562,Devharsh Infotec...,3.6,(8 Reviews),Mumbai,11-50 Employees (India),,
3563,Arcelia IT Servi...,5.0,(8 Reviews),New Delhi + 1 more,11-50 Employees (India),,
3564,BlackLight Studi...,3.3,(8 Reviews),Noida,11,11-50 Employees (India),
3565,Jawaharlal Nehru...,3.7,(8 Reviews),Aurangabad,201-500 Employees (India),,
3566,Link Legal,3.5,(8 Reviews),New Delhi + 1 more,11-50 Employees (India),,
3567,Alpha Capital,4.6,(8 Reviews),Gurgaon + 1 more,12,51-200 Employees (India),
3568,Lmd Hitech India,3.1,(8 Reviews),Jaipur + 3 more,,,
3569,Phoenix Robotix,4.3,(8 Reviews),"Rourkela,Odisha",7,51-200 Employees (India),
3570,Lmd Hitech India,3.1,(8 Reviews),Jaipur + 3 more,,,
3571,Rao & Emmar,4.5,(8 Reviews),Bengaluru + 3 more,,,
3572,Loanzen,4.5,(8 Reviews),"Bangalore,Karnataka + 2 more",7,11-50 Employees (India),
3573,Concept Internat...,2.3,(8 Reviews),Gurgaon,11-50 Employees (India),,
3574,A S R,3.8,(8 Reviews),Rohtak,,,
3575,TRIMURTI POLYMER...,4.1,(8 Reviews),Thane,,,
3576,iBhejo,3.9,(8 Reviews),Mumbai,10,,
3577,Intelecorp Softw...,4.2,(8 Reviews),Mumbai,11-50 Employees (India),,
3578,Ojasvin Group,2.1,(8 Reviews),Noida + 1 more,,,
3579,Ultimate tek Sol...,4.8,(8 Reviews),Bengaluru,,,
3580,SachTech Solutio...,4.7,(8 Reviews),Private,"Mohali,Punjab",11,11-50 Employees (Global)
3581,The Srijan Schoo...,4.2,(8 Reviews),Model Town,11-50 Employees (India),,
3582,Link Legal,3.5,(8 Reviews),New Delhi + 1 more,11-50 Employees (India),,
3583,Finnastra,4.7,(8 Reviews),Bengaluru,12,,
3584,iDynamics,4.9,(8 Reviews),Leeds,,,
3585,Seamedu School o...,3.7,(8 Reviews),Private,"Pune,Maharashtra + 1 more",14,51-200 Employees (Global)
3586,Solace Biotech,3.7,(8 Reviews),Ahmedabad,,,
3587,Chetak Group,2.2,(8 Reviews),New Delhi,43,,
3588,Pesco-Beam Envir...,4.2,(8 Reviews),Roanoke,11-50 Employees (India),,
3589,APL Global Schoo...,2.5,(8 Reviews),Chennai,11-50 Employees (India),,
3590,Bradford License...,2.3,(8 Reviews),New Delhi + 1 more,12,51-200 Employees (India),
3591,Unique Designers,4.5,(8 Reviews),New Delhi + 1 more,,,
3592,Ticket New,4.9,(8 Reviews),Chennai + 2 more,15,,
3593,TMA Hospitality ...,4.3,(8 Reviews),"Bangalore,Karnataka + 1 more",14,,
3594,VFS (Vision Fina...,4.6,(8 Reviews),Pune + 3 more,,,
3595,Hallmark Financi...,3.7,(8 Reviews),Vijayawada + 2 more,,,
3596,Proclaim Insuran...,4.2,(8 Reviews),Gurgaon/Gurugram + 2 more,201-500 Employees (India),,
3597,Mahesh C Solanki...,4.8,(8 Reviews),"Indore,Madhya Pradesh",33,51-200 Employees (Global),
3598,IMA BLOOD BANK,2.5,(8 Reviews),,,,
3599,CEEJAY FINANCE,3.8,(8 Reviews),Public,"Nadiad,Gujrat",29,51-200 Employees (India)
3600,Cubix Control Sy...,4.1,(8 Reviews),Private,New Delhi,51-200 Employees (India),
3601,Blend Financial ...,3.0,(8 Reviews),Private,Mumbai,25,51-200 Employees (India)
3602,Salman Group,1.5,(8 Reviews),Private,Dammam + 1 more,201-500 Employees (Global),
3603,Hotel Central Pa...,3.9,(8 Reviews),Private,Fort Worth + 3 more,11-50 Employees (India),
3604,Raheja Qbe Gener...,4.0,(8 Reviews),Private,Windsor,51-200 Employees (India),
3605,Multifonds,2.2,(8 Reviews),Private,Strassen,27,201-500 Employees (Global)
3606,Rev Infotech,2.8,(8 Reviews),Private,"St Petersburg,Florida",15,51-200 Employees (India)
3607,Team Teknik,2.5,(8 Reviews),Private,Mumbai,11-50 Employees (India),
3608,Ascent Castings ...,3.6,(8 Reviews),Private,Pune,11-50 Employees (Global),
3609,Meander Software,3.3,(8 Reviews),Private,Delhi,8,11-50 Employees (Global)
3610,Kantilal Chhagan...,3.6,(8 Reviews),Private,Mumbai + 1 more,51-200 Employees (India),
3611,Rite Infotech,3.7,(8 Reviews),Private,,,
3612,Telcon,3.7,(8 Reviews),Private,Jamshedpur + 2 more,11-50 Employees (Global),
3613,SchemaX,3.7,(8 Reviews),Private,Visakhapatnam,,
3614,Axykno Capital S...,3.6,(8 Reviews),Private,New Delhi,24,51-200 Employees (India)
3615,BNP Paribas Asse...,4.7,(8 Reviews),Mumbai + 1 more,51-200 Employees (India),,
3616,Max Financial Se...,4.8,(8 Reviews),Public,"Kolkata,West Bengal + 6 more",28,10k-50k Employees (India)
3617,Ovington Finance,3.3,(8 Reviews),Private,New Delhi,11-50 Employees (Global),
3618,SMC Finance,1.4,(8 Reviews),,,,
3619,Sks Finance,4.5,(8 Reviews),Kollam + 3 more,,,
3620,BRBNMPL,4.4,(8 Reviews),"Bangalore,karnataka",,,
3621,Jmj Finance,2.8,(8 Reviews),Private,Thrissur + 1 more,26,51-200 Employees (India)
3622,Hallmark Financi...,3.7,(8 Reviews),Vijayawada + 2 more,,,
3623,Visista Insuranc...,3.8,(8 Reviews),Hyderabad/Secunderabad + 1 more,51-200 Employees (India),,
3624,Novel Patterns,4.9,(8 Reviews),Private,"Noida,Uttar Pradesh",5,11-50 Employees (India)
3625,CONTYPARK FINANC...,4.2,(8 Reviews),,,,
3626,pnb Matlife Life...,4.2,(8 Reviews),Mumbai + 4 more,51-200 Employees (India),,
3627,Kissandhan Agri ...,4.1,(8 Reviews),New Delhi + 1 more,201-500 Employees (India),,
3628,Proclaim Insuran...,4.2,(8 Reviews),Gurgaon/Gurugram + 2 more,201-500 Employees (India),,
3629,Investacc Insura...,3.9,(8 Reviews),11-50 Employees (India),,,
3630,Ellaquai Dehati ...,3.5,(8 Reviews),201-500 Employees (India),,,
3631,KBS Bank,4.8,(8 Reviews),Hyderabad/Secunderabad + 1 more,,,
3632,Jubiliant Insura...,3.8,(8 Reviews),,,,
3633,Aruna Finance,4.5,(8 Reviews),Visakhapatnam + 2 more,11-50 Employees (India),,
3634,Arogya Finance,4.3,(8 Reviews),"Mumbai,Maharashtra + 3 more",11,,
3635,Punjab Gramin Ba...,2.9,(8 Reviews),51-200 Employees (India),,,
3636,Asomi Finance,4.3,(8 Reviews),Guwahati + 1 more,,,
3637,Mahesh C Solanki...,4.8,(8 Reviews),"Indore,Madhya Pradesh",33,51-200 Employees (Global),
3638,Shubh Loans,4.5,(8 Reviews),"Bangalore/Bengaluru,Karnataka",6,51-200 Employees (Global),
3639,VFS (Vision Fina...,4.6,(8 Reviews),Pune + 3 more,,,
3640,IMA BLOOD BANK,2.5,(8 Reviews),,,,
3641,Edelweiss Insura...,3.8,(8 Reviews),"Mumbai,Maharashtra + 1 more",17,,
3642,M2P Solutions,4.8,(8 Reviews),"Chennai,Tamil Nadu",201-500 Employees (India),,
3643,Anashvision Cons...,4.0,(8 Reviews),,,,
3644,MicroSave Consul...,4.2,(8 Reviews),Private,"Lucknow,Uttar Pradesh + 4 more",24,51-200 Employees (Global)
3645,Vreedhi Financia...,4.2,(8 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",28,51-200 Employees (India)
3646,Netstratum,4.6,(8 Reviews),Private,"Ernakulam,Kerala",25,11-50 Employees (India)
3647,Fullerton Securi...,3.9,(7 Reviews),Private,Gurgaon + 1 more,,
3648,NVS,4.0,(7 Reviews),Private,San Diego + 2 more,11-50 Employees (Global),
3649,JRG Securities,4.9,(7 Reviews),Private,Hyderabad + 3 more,28,201-500 Employees (Global)
3650,GKTCS Innovation...,3.9,(7 Reviews),Private,Pune,11-50 Employees (Global),
3651,Aetna,4.4,(7 Reviews),Private,Hartford + 1 more,169,501-1k Employees (India)
3652,ImageGrafix Engi...,3.0,(7 Reviews),Private,Chennai + 1 more,201-500 Employees (India),
3653,STAR CJ Network ...,2.0,(7 Reviews),Private,Mumbai + 1 more,11-50 Employees (Global),
3654,Destimoney,4.3,(7 Reviews),Private,Mumbai + 1 more,1k-5k Employees (Global),
3655,SKP Securities,2.8,(7 Reviews),Public,"Kolkata,West Bengal + 1 more",32,51-200 Employees (India)
3656,Integrated Datab...,4.3,(7 Reviews),Private,New Delhi + 1 more,51-200 Employees (India),
3657,Devi Ahilya Vish...,4.6,(7 Reviews),Private,Indore,501-1k Employees (India),
3658,Smart Systems So...,4.5,(7 Reviews),Private,New Delhi,11-50 Employees (Global),
3659,Sysmix Infotech,4.1,(7 Reviews),Private,Chennai,11-50 Employees (Global),
3660,Kay Exports,2.9,(7 Reviews),Private,Amritsar,201-500 Employees (Global),
3661,Shree Electronic...,4.8,(7 Reviews),Private,Mumbai,1-10 Employees (India),
3662,INCITE,4.1,(7 Reviews),Private,New York,11-50 Employees (India),
3663,Paschim Banga Gr...,3.4,(7 Reviews),Private,HÄora,15,501-1k Employees (India)
3664,World Institute ...,3.4,(7 Reviews),Private,Pune,18,51-200 Employees (India)
3665,Azim Premji Univ...,5.0,(7 Reviews),Private,"Bangalore/Bengaluru,Karnataka",12,501-1k Employees (Global)
3666,SAN IT Solutions,4.6,(7 Reviews),Private,Bangalore + 1 more,,
3667,Syntax Soft-Tech,3.5,(7 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",23,201-500 Employees (India)
3668,Nomura Structure...,3.3,(7 Reviews),Private,Tokyo,97,51-200 Employees (India)
3669,Manna Trust,4.9,(7 Reviews),Private,Hyderabad,,
3670,ITSource India T...,3.0,(7 Reviews),Private,India,24,1k-5k Employees (Global)
3671,Hema,3.6,(7 Reviews),Private,Sliven + 2 more,15,11-50 Employees (Global)
3672,MavenMagnet,3.4,(7 Reviews),Private,New York,11-50 Employees (Global),
3673,Compnova,4.8,(7 Reviews),Private,Richardson,11-50 Employees (India),
3674,CarPro Systems,3.6,(7 Reviews),Private,Oosterhout,51-200 Employees (India),
3675,Nissan Ashok Ley...,5.0,(7 Reviews),Private,Chennai,1k-5k Employees (India),
3676,Kisan Forum,4.6,(7 Reviews),Private,Pune,11-50 Employees (India),
3677,M.D.Overseas,3.2,(7 Reviews),Private,Delhi,201-500 Employees (India),
3678,Viral Technologi...,4.1,(7 Reviews),Private,Mumbai,11-50 Employees (India),
3679,MSA,3.7,(7 Reviews),Private,Raleigh + 4 more,51-200 Employees (India),
3680,TIA Consulting,3.0,(7 Reviews),Private,New Delhi,11-50 Employees (Global),
3681,Rabobank,4.6,(7 Reviews),Private,Utrecht,124,11-50 Employees (India)
3682,Sharetipsinfo,4.6,(7 Reviews),Private,New Delhi,17,51-200 Employees (Global)
3683,Volkswagen Finan...,4.3,(7 Reviews),Private,Braunschweig,5k-10k Employees (Global),
3684,Payza,1.9,(7 Reviews),Private,10,51-200 Employees (Global),
3685,Cevious Technolo...,4.8,(7 Reviews),Private,New Delhi,27,11-50 Employees (India)
3686,RedBlink,4.2,(7 Reviews),Private,Hayward,51-200 Employees (Global),
3687,Vanguard,4.3,(7 Reviews),Private,47,10k-50k Employees (Global),
3688,Trident Microfin,4.1,(7 Reviews),Private,"Hyderabad,Telangana",15,51-200 Employees (India)
3689,Jaypee Internati...,4.1,(7 Reviews),Private,Chicago,201-500 Employees (Global),
3690,Wera Food Techno...,4.7,(7 Reviews),Mumbai,7,,
3691,Myraa Technologi...,2.5,(7 Reviews),Mumbai + 1 more,6,,
3692,SystemoneX,3.6,(7 Reviews),Middletown,,,
3693,Nissan Ashok Ley...,5.0,(7 Reviews),Private,Chennai,1k-5k Employees (India),
3694,World Institute ...,3.4,(7 Reviews),Private,Pune,18,51-200 Employees (India)
3695,Satyam Cineplexe...,3.5,(7 Reviews),Private,Gurgaon + 2 more,,
3696,SecPod Technolog...,3.7,(7 Reviews),Private,"Bangalore/Bengaluru,Karnataka",14,11-50 Employees (Global)
3697,Gyan Research an...,3.2,(7 Reviews),Private,"Delhi,delhi",12,11-50 Employees (Global)
3698,Devi Ahilya Vish...,4.6,(7 Reviews),Private,Indore,501-1k Employees (India),
3699,INCITE,4.1,(7 Reviews),Private,New York,11-50 Employees (India),
3700,F7 Broadcast,4.1,(7 Reviews),Private,Delhi,1k-5k Employees (Global),
3701,Interview Mocha,4.5,(7 Reviews),Private,Pune,10,51-200 Employees (India)
3702,RedBlink,4.2,(7 Reviews),Private,Hayward,51-200 Employees (Global),
3703,Vanguard,4.3,(7 Reviews),Private,47,10k-50k Employees (Global),
3704,Trident Microfin,4.1,(7 Reviews),Private,"Hyderabad,Telangana",15,51-200 Employees (India)
