,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
210,SMC Global Secur...,3.5,(301 Reviews),Public,SMC Global Securities Ltd. + 47 more,28,1k-5k Employees (India)
211,ADFC,4.1,(298 Reviews),Private,Mumbai + 38 more,28,1 Lakh+ Employees (India)
212,Unimoni,3.9,(298 Reviews),Private,"Abu Dhabi,Dubai + 68 more",16,1k-5k Employees (India)
213,Vastu Housing Fi...,4.6,(295 Reviews),Private,"Mumbai,Maharashtra + 73 more",7,1k-5k Employees (India)
214,Attra Infotech,4.0,(294 Reviews),Private,"Box Hill,Victoria + 6 more",27,1k-5k Employees (India)
215,Fedbank Financia...,4.4,(293 Reviews),Private,"Mumbai,Maharashtra + 77 more",12,1k-5k Employees (India)
216,National Collate...,3.8,(289 Reviews),Mumbai + 62 more,18,501-1k Employees (India),
217,Fidelity Interna...,4.3,(288 Reviews),Private,London + 6 more,53,1k-5k Employees (India)
218,SIS Prosegur Hol...,3.9,(286 Reviews),Private,"Patna,Bihar + 52 more",27,10k-50k Employees (India)
219,Bajaj Capital In...,3.8,(286 Reviews),New Delhi + 84 more,18,1k-5k Employees (India),
220,Central Bank of ...,4.0,(285 Reviews),Public,"Mumbai,Maharashtra + 69 more",111,10k-50k Employees (India)
221,Acuity Knowledge...,3.8,(285 Reviews),London + 6 more,20,1k-5k Employees (India),
222,Online Legal Ind...,4.9,(285 Reviews),Private,"Kolkata,West Bengal + 1 more",3,501-1k Employees (India)
223,Varthana,4.6,(278 Reviews),Private,"Bangalore,Karnataka + 49 more",9,501-1k Employees (India)
224,Universal Sompo ...,3.8,(276 Reviews),Private,"Mumbai,Maharashtra + 65 more",15,1k-5k Employees (India)
225,Reliance Life Sc...,3.5,(273 Reviews),Private,"Mumbai,Maharashtra + 24 more",21,1k-5k Employees (India)
226,Practo,3.2,(271 Reviews),Private,"Bangalore,Karnataka + 16 more",14,1k-5k Employees (India)
227,Kissht Finance,4.0,(271 Reviews),Private,"Mumbai,Maharashtra + 45 more",7,51-200 Employees (India)
228,Religare Securit...,3.7,(265 Reviews),Private,"Delhi/NCR,Delhi + 63 more",36,1k-5k Employees (India)
229,Citigroup,4.0,(1.3k Reviews),Private,"New York City,New York + 32 more",210,10k-50k Employees (India)
230,Bussan Auto Fina...,4.3,(263 Reviews),Private,New Delhi + 41 more,88,201-500 Employees (India)
231,Black Knight,3.5,(261 Reviews),Private,"Jacksonville,Florida + 2 more",8,501-1k Employees (India)
232,IndianMoney.com,2.9,(261 Reviews),Private,"Bangalore,Karnataka + 11 more",14,201-500 Employees (India)
233,JM Financial,4.1,(259 Reviews),Public,"Mumbai,Maharashtra + 43 more",38,1k-5k Employees (India)
234,Matrix Business ...,3.7,(259 Reviews),Private,"Chennai,Tamil Nadu + 20 more",19,1k-5k Employees (India)
235,SHARE Microfin,4.2,(259 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 96 more",33,501-1k Employees (India)
236,Shriram Housing ...,3.8,(258 Reviews),Public,"Mumbai,Maharashtra + 80 more",12,501-1k Employees (India)
237,DST Systems,3.9,(258 Reviews),Private,"Windsor,Connecticut + 4 more",53,1k-5k Employees (India)
238,Xchanging,3.5,(256 Reviews),Public,London + 9 more,24,201-500 Employees (India)
239,CARE,4.3,(255 Reviews),Private,Noida + 75 more,72,51-200 Employees (India)
